Title,URL,Priority
How do I add a meta description to a catalog?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-add-a-meta-description-to-a-catalog/ta-p/619177,high
How do I add departments to the assessment library?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-departments-to-the-assessment-library/ta-p/1448,high
How do I create a pathway in Pathways?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-create-a-pathway-in-Pathways/ta-p/1433,high
How do I view the Catalog Audit Log?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-view-the-Catalog-Audit-Log/ta-p/596563,high
How do I manage and view revenue modifications as a Catalog admin?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-manage-and-view-revenue-modifications-as-a-Catalog/ta-p/594594,high
How do I view the Canvas Credentials integration in a catalog?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-view-the-Canvas-Credentials-integration-in-a-catalog/ta-p/630510,high
How do I add an experience as a requirement to a milestone?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-an-experience-as-a-requirement-to-a-milestone/ta-p/1453,high
How do I add a course listing in Canvas Catalog ?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-add-a-course-listing-in-Canvas-Catalog/ta-p/591899,high
How do I add an earned badge as a requirement to a milestone?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-an-earned-badge-as-a-requirement-to-a-milestone/ta-p/1463,high
How do I add a completed pathway as a requirement to a milestone?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-a-completed-pathway-as-a-requirement-to-a-milestone/ta-p/1476,high
How do I manually enroll students in a pathway?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-manually-enroll-students-in-a-pathway/ta-p/1461,high
How do I generate an enrollment link for students to opt-in to a pathway?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-generate-an-enrollment-link-for-students-to-opt-in-to-a/ta-p/1460,high
How do I view details for a pathway?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-view-details-for-a-pathway/ta-p/1472,high
How do I manage pathways?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-manage-pathways/ta-p/1478,high
How do I enable the Canvas Credentials integration for a catalog?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-enable-the-Canvas-Credentials-integration-for-a-catalog/ta-p/630511,high
How do I use Catalog as a subcatalog admin?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-use-Catalog-as-a-subcatalog-admin/ta-p/1787,high
How do I add a program listing in Canvas Catalog ?,https://community.canvaslms.com/t5/Canvas-Catalog/How-do-I-add-a-program-listing-in-Canvas-Catalog/ta-p/591898,high
What is Canvas Commons?,https://community.canvaslms.com/t5/Canvas-Commons/What-is-Canvas-Commons/ta-p/1788,high
What is Canvas Student ePortfolios?,https://community.canvaslms.com/t5/Canvas-Student-ePortfolios/What-is-Canvas-Student-ePortfolios/ta-p/1358,high
Where can I find a list of Canvas Student ePortfolios terminology?,https://community.canvaslms.com/t5/Canvas-Student-ePortfolios/Where-can-I-find-a-list-of-Canvas-Student-ePortfolios/ta-p/1362,high
How do I edit my overview information in my profile?,https://community.canvaslms.com/t5/Canvas-Student-ePortfolios/How-do-I-edit-my-overview-information-in-my-profile/ta-p/1419,high
How do I add a new badge issuer to my account as an admin?,https://community.canvaslms.com/t5/Canvas-Student-Pathways/How-do-I-add-a-new-badge-issuer-to-my-account-as-an-admin/ta-p/466165,high
How do I sign up for a Canvas Student ePortfolios account?,https://community.canvaslms.com/t5/Canvas-Student-ePortfolios/How-do-I-sign-up-for-a-Canvas-Student-ePortfolios-account/ta-p/1406,high
